Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Metropolia_fall_desc;Occupy all core provinces of empire and all colonies will get freedom. ;Le système de servage, une main-d'œuvre privée de liberté rattachée aux terres d'un noble local, une forme d'esclavage féodal, a existé en Russie depuis la Rus' de Kiev du XIe siècle. Au fil du temps, ce système a fait l'objet de plusieurs réformes et évolutions, mais les premières mesures d'abolition ne furent prises que dans les années 1810, époque à laquelle il fut aboli dans les domaines russes du Kurland, d'Estonie et de Livonie. Il fallut attendre la réforme agraire de 1861 pour voir l'abolition totale de ce système, sous le règne du tsar Alexandre II qui craignait, à l'époque, un soulèvement de la paysannerie russe.;Die Einführung der Leibeigenschaft -- unfreie Landarbeit auf den Ländereien eines lokalen Adligen, also eine Art feudaler Sklaverei -- hatte in Russland seit der Kiewer Rus im elften Jahrhundert in verschiedenen Formen existiert. Im Laufe der wurde die Leibeigenschaft mehreren Reformen und Veränderungen unterworfen, aber erste Schritte in Richtung einer vollständigen Abschaffungen wurden erst in den 1810er Jahren unternommen, als die Leibeigenschaft in den russischen Domänen Kurland, Estland und Livland abgeschafft wurde. Im restlichen Russland wurde sie erst während der Herrschaft von Zar Alexander II. im Zuge der Agrarreform von 1861 abgeschafft. Der Zar befürchtete damals, dass sich die russischen Bauern ansonsten ihre Freiheit durch eine offene Revolution holen würden.;;La institución de la servidumbre, que consiste en el trabajo en granjas vinculado a la tierra de un noble local, en la práctica una forma de esclavitud feudal, había existido bajo diversas fórmulas en Rusia desde la época de los rus de Kiev, en el siglo XI. A lo largo de las eras, la institución había experimentado varios cambios y reformas, pero los primeros pasos hacia su abolición real no se dieron hasta la década de 1810, cuando la institución fue eliminada en los dominios rusos de Curlandia, Estonia y Livonia. El fin de la institución no llegó hasta la reforma agraria de 1861, durante el reinado del zar Alejandro II, que en ese momento temía que si no ocurría así, el campesinado ruso buscaría su liberación a través de la revolución abierta.;;;;;;;;;
Marionet_title;Make puppet.;La Réforme paysanne;Die Bauernreform;;La reforma de los campesinos;;;;;;;;;
Marionet_desc;Make puppet on the lands of the enemy. ;Le système de servage, une main-d'œuvre privée de liberté rattachée aux terres d'un noble local, une forme d'esclavage féodal, a existé en Russie depuis la Rus' de Kiev du XIe siècle. Au fil du temps, ce système a fait l'objet de plusieurs réformes et évolutions, mais les premières mesures d'abolition ne furent prises que dans les années 1810, époque à laquelle il fut aboli dans les domaines russes du Kurland, d'Estonie et de Livonie. Il fallut attendre la réforme agraire de 1861 pour voir l'abolition totale de ce système, sous le règne du tsar Alexandre II qui craignait, à l'époque, un soulèvement de la paysannerie russe.;Die Einführung der Leibeigenschaft -- unfreie Landarbeit auf den Ländereien eines lokalen Adligen, also eine Art feudaler Sklaverei -- hatte in Russland seit der Kiewer Rus im elften Jahrhundert in verschiedenen Formen existiert. Im Laufe der wurde die Leibeigenschaft mehreren Reformen und Veränderungen unterworfen, aber erste Schritte in Richtung einer vollständigen Abschaffungen wurden erst in den 1810er Jahren unternommen, als die Leibeigenschaft in den russischen Domänen Kurland, Estland und Livland abgeschafft wurde. Im restlichen Russland wurde sie erst während der Herrschaft von Zar Alexander II. im Zuge der Agrarreform von 1861 abgeschafft. Der Zar befürchtete damals, dass sich die russischen Bauern ansonsten ihre Freiheit durch eine offene Revolution holen würden.;;La institución de la servidumbre, que consiste en el trabajo en granjas vinculado a la tierra de un noble local, en la práctica una forma de esclavitud feudal, había existido bajo diversas fórmulas en Rusia desde la época de los rus de Kiev, en el siglo XI. A lo largo de las eras, la institución había experimentado varios cambios y reformas, pero los primeros pasos hacia su abolición real no se dieron hasta la década de 1810, cuando la institución fue eliminada en los dominios rusos de Curlandia, Estonia y Livonia. El fin de la institución no llegó hasta la reforma agraria de 1861, durante el reinado del zar Alejandro II, que en ese momento temía que si no ocurría así, el campesinado ruso buscaría su liberación a través de la revolución abierta.;;;;;;;;;
deport_aliens_title;Deport foreign nationals.;La Réforme paysanne;Die Bauernreform;;La reforma de los campesinos;;;;;;;;;
deport_aliens_desc;We will not tolerate all this foreign nationals in our land! ;Le système de servage, une main-d'œuvre privée de liberté rattachée aux terres d'un noble local, une forme d'esclavage féodal, a existé en Russie depuis la Rus' de Kiev du XIe siècle. Au fil du temps, ce système a fait l'objet de plusieurs réformes et évolutions, mais les premières mesures d'abolition ne furent prises que dans les années 1810, époque à laquelle il fut aboli dans les domaines russes du Kurland, d'Estonie et de Livonie. Il fallut attendre la réforme agraire de 1861 pour voir l'abolition totale de ce système, sous le règne du tsar Alexandre II qui craignait, à l'époque, un soulèvement de la paysannerie russe.;Die Einführung der Leibeigenschaft -- unfreie Landarbeit auf den Ländereien eines lokalen Adligen, also eine Art feudaler Sklaverei -- hatte in Russland seit der Kiewer Rus im elften Jahrhundert in verschiedenen Formen existiert. Im Laufe der wurde die Leibeigenschaft mehreren Reformen und Veränderungen unterworfen, aber erste Schritte in Richtung einer vollständigen Abschaffungen wurden erst in den 1810er Jahren unternommen, als die Leibeigenschaft in den russischen Domänen Kurland, Estland und Livland abgeschafft wurde. Im restlichen Russland wurde sie erst während der Herrschaft von Zar Alexander II. im Zuge der Agrarreform von 1861 abgeschafft. Der Zar befürchtete damals, dass sich die russischen Bauern ansonsten ihre Freiheit durch eine offene Revolution holen würden.;;La institución de la servidumbre, que consiste en el trabajo en granjas vinculado a la tierra de un noble local, en la práctica una forma de esclavitud feudal, había existido bajo diversas fórmulas en Rusia desde la época de los rus de Kiev, en el siglo XI. A lo largo de las eras, la institución había experimentado varios cambios y reformas, pero los primeros pasos hacia su abolición real no se dieron hasta la década de 1810, cuando la institución fue eliminada en los dominios rusos de Curlandia, Estonia y Livonia. El fin de la institución no llegó hasta la reforma agraria de 1861, durante el reinado del zar Alejandro II, que en ese momento temía que si no ocurría así, el campesinado ruso buscaría su liberación a través de la revolución abierta.;;;;;;;;;
stop_deportation_title;Stop deportation;La Réforme paysanne;Die Bauernreform;;La reforma de los campesinos;;;;;;;;;
stop_deportation_desc;It was terrible mistake, we love all people of our land. ;Le système de servage, une main-d'œuvre privée de liberté rattachée aux terres d'un noble local, une forme d'esclavage féodal, a existé en Russie depuis la Rus' de Kiev du XIe siècle. Au fil du temps, ce système a fait l'objet de plusieurs réformes et évolutions, mais les premières mesures d'abolition ne furent prises que dans les années 1810, époque à laquelle il fut aboli dans les domaines russes du Kurland, d'Estonie et de Livonie. Il fallut attendre la réforme agraire de 1861 pour voir l'abolition totale de ce système, sous le règne du tsar Alexandre II qui craignait, à l'époque, un soulèvement de la paysannerie russe.;Die Einführung der Leibeigenschaft -- unfreie Landarbeit auf den Ländereien eines lokalen Adligen, also eine Art feudaler Sklaverei -- hatte in Russland seit der Kiewer Rus im elften Jahrhundert in verschiedenen Formen existiert. Im Laufe der wurde die Leibeigenschaft mehreren Reformen und Veränderungen unterworfen, aber erste Schritte in Richtung einer vollständigen Abschaffungen wurden erst in den 1810er Jahren unternommen, als die Leibeigenschaft in den russischen Domänen Kurland, Estland und Livland abgeschafft wurde. Im restlichen Russland wurde sie erst während der Herrschaft von Zar Alexander II. im Zuge der Agrarreform von 1861 abgeschafft. Der Zar befürchtete damals, dass sich die russischen Bauern ansonsten ihre Freiheit durch eine offene Revolution holen würden.;;La institución de la servidumbre, que consiste en el trabajo en granjas vinculado a la tierra de un noble local, en la práctica una forma de esclavitud feudal, había existido bajo diversas fórmulas en Rusia desde la época de los rus de Kiev, en el siglo XI. A lo largo de las eras, la institución había experimentado varios cambios y reformas, pero los primeros pasos hacia su abolición real no se dieron hasta la década de 1810, cuando la institución fue eliminada en los dominios rusos de Curlandia, Estonia y Livonia. El fin de la institución no llegó hasta la reforma agraria de 1861, durante el reinado del zar Alejandro II, que en ese momento temía que si no ocurría así, el campesinado ruso buscaría su liberación a través de la revolución abierta.;;;;;;;;;
prohibit_emigration_title;Prohibit emigration;La Réforme paysanne;Die Bauernreform;;La reforma de los campesinos;;;;;;;;;
prohibit_emigration_desc;You traitor live here and work for your Goverment! ;Le système de servage, une main-d'œuvre privée de liberté rattachée aux terres d'un noble local, une forme d'esclavage féodal, a existé en Russie depuis la Rus' de Kiev du XIe siècle. Au fil du temps, ce système a fait l'objet de plusieurs réformes et évolutions, mais les premières mesures d'abolition ne furent prises que dans les années 1810, époque à laquelle il fut aboli dans les domaines russes du Kurland, d'Estonie et de Livonie. Il fallut attendre la réforme agraire de 1861 pour voir l'abolition totale de ce système, sous le règne du tsar Alexandre II qui craignait, à l'époque, un soulèvement de la paysannerie russe.;Die Einführung der Leibeigenschaft -- unfreie Landarbeit auf den Ländereien eines lokalen Adligen, also eine Art feudaler Sklaverei -- hatte in Russland seit der Kiewer Rus im elften Jahrhundert in verschiedenen Formen existiert. Im Laufe der wurde die Leibeigenschaft mehreren Reformen und Veränderungen unterworfen, aber erste Schritte in Richtung einer vollständigen Abschaffungen wurden erst in den 1810er Jahren unternommen, als die Leibeigenschaft in den russischen Domänen Kurland, Estland und Livland abgeschafft wurde. Im restlichen Russland wurde sie erst während der Herrschaft von Zar Alexander II. im Zuge der Agrarreform von 1861 abgeschafft. Der Zar befürchtete damals, dass sich die russischen Bauern ansonsten ihre Freiheit durch eine offene Revolution holen würden.;;La institución de la servidumbre, que consiste en el trabajo en granjas vinculado a la tierra de un noble local, en la práctica una forma de esclavitud feudal, había existido bajo diversas fórmulas en Rusia desde la época de los rus de Kiev, en el siglo XI. A lo largo de las eras, la institución había experimentado varios cambios y reformas, pero los primeros pasos hacia su abolición real no se dieron hasta la década de 1810, cuando la institución fue eliminada en los dominios rusos de Curlandia, Estonia y Livonia. El fin de la institución no llegó hasta la reforma agraria de 1861, durante el reinado del zar Alejandro II, que en ese momento temía que si no ocurría así, el campesinado ruso buscaría su liberación a través de la revolución abierta.;;;;;;;;;
legalize_emigration_title;Legalize emigration;La Réforme paysanne;Die Bauernreform;;La reforma de los campesinos;;;;;;;;;
