Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
absolute_monarchy_ruler;King;Roi;König;;Rey;;;;;;;;;
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;Los anarcoliberales rechazan las reformas sociales, y nunca apoyarán más reformas de ningún tipo.;;;;;;;;;
bourgeois_dictatorship;Bourgeois Dictatorship;Dictature bourgeoise;Bürgerliche Diktatur;;Dictadura burguesa;;;;;;;;;
bourgeois_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;Los comunistas quieren promulgar reformas sociales, pero rechazan las reformas políticas.;;;;;;;;;
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;Los conservadores prefieren el statu quo, pero pueden apoyar reformas en condiciones de elevada militancia.;;;;;;;;;
democracy;Democracy;Démocratie;Demokratie;;Democracia;;;;;;;;;
democracy_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
fascist_dictatorship;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;;Dictadura fascista;;;;;;;;;
fascist_dictatorship_ruler;Führer;Führer;Führer;;Führer;;;;;;;;;
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;Los fascistas abogan por la ampliación de la reforma social, y la eliminación de la reforma política, pero se opondrán a cualquier reforma mientras el partido gobernante no sea fascista.;;;;;;;;;
french_second_empire;Constitutional Monarchy;;;;;;;;;;;;;
hms_government;HM's Government;Gouvernement de Sa Majesté;Ihrer Majestät Regierung;;Gobierno de Su Majestad;;;;;;;;;
hms_government_ruler;King;Roi;König;;Rey;;;;;;;;;
islamist;Islamist;;;;;;;;;;;;;
islamist_uh;Islamists have for goal the institution of Sharia law and therefore will always back the implemention of reactionary political and social reforms.;;;;;;;;;;;;;
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;Los liberales abogan por más reformas políticas, pero apoyarán también reformas sociales bajo condiciones de elevada militancia.;;;;;;;;;
napoleonic_empire;Napoleonic Absolutism;;;;;;;;;;;;;
presidential_dictatorship;Presidential Dictatorship;Dictature présidentielle;Präsidiale Diktatur;;Dictadura presidencialista;;;;;;;;;
presidential_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
proletarian_dictatorship;Communist Dictatorship;Dictature Communiste;Kommunistische Diktatur;;Dictadura Comunista;;;;;;;;;
proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;Presidente del consejo;;;;;;;;;
prussian_constitutionalism;Prussian Constitutionalism;Constitutionalisme prusse;Konstitutionelle Monarchie;;Constitucionalismo prusiano;;;;;;;;;
prussian_constitutionalism_ruler;King;Roi;König;;Rey;;;;;;;;;
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;Los reaccionarios siempre tratan de evitar las reformas, tanto políticas como sociales.;;;;;;;;;
revolutionary_republic;Revolutionary Republic;;;;;;;;;;;;;
socialist_republic;Socialist Republic;;;;;;;;;;;;;
socialist_republic_ruler;Chairman;;;;;;;;;;;;;
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;Los socialistas abogan por promulgar más reformas sociales, pero pueden apoyar reformas políticas en condiciones de elevada militancia.;;;;;;;;;
theocracy;Theocracy;;;;;;;;;;;;;
theocratic_dictatorship;Theocratic Dictatorship;;;;;;;;;;;;;
theocratic_dictatorship_ruler;Your holiness;;;;;;;;;;;;;
survivalism;Survivalism;Survivalisme;Überlebensideologie;;Supervivencialismo;;;;;;;;;
survivalism_uh;Survivalists prioritize the survival of their community above all else, enforcing strict resource control and authoritarian order.;Les survivants placent la survie de leur communauté avant tout.;Überlebende stellen das Überleben ihrer Gemeinschaft über alles.;;Los supervivencialistas priorizan la supervivencia de su comunidad por encima de todo.;;;;;;;;;
state_of_emergency_absolute_monarchy;State of Emergency (Absolute Monarchy);État d'urgence (Monarchie absolue);Ausnahmezustand (Absolute Monarchie);;Estado de emergencia (Monarquía absoluta);;;;;;;;;
state_of_emergency_absolute_monarchy_ruler;King;Roi;König;;Rey;;;;;;;;;
state_of_emergency_bourgeois_dictatorship;State of Emergency (Bourgeois Dictatorship);État d'urgence (Dictature bourgeoise);Ausnahmezustand (Bürgerliche Diktatur);;Estado de emergencia (Dictadura burguesa);;;;;;;;;
state_of_emergency_bourgeois_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
state_of_emergency_democracy;State of Emergency (Democracy);État d'urgence (Démocratie);Ausnahmezustand (Demokratie);;Estado de emergencia (Democracia);;;;;;;;;
state_of_emergency_democracy_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
state_of_emergency_fascist_dictatorship;State of Emergency (Fascist Dictatorship);État d'urgence (Dictature fasciste);Ausnahmezustand (Faschistische Diktatur);;Estado de emergencia (Dictadura fascista);;;;;;;;;
state_of_emergency_fascist_dictatorship_ruler;Führer;Führer;Führer;;Führer;;;;;;;;;
state_of_emergency_hms_government;State of Emergency (HM's Government);État d'urgence (Gouvernement de Sa Majesté);Ausnahmezustand (Ihrer Majestät Regierung);;Estado de emergencia (Gobierno de Su Majestad);;;;;;;;;
state_of_emergency_hms_government_ruler;King;Roi;König;;Rey;;;;;;;;;
state_of_emergency_presidential_dictatorship;State of Emergency (Presidential Dictatorship);État d'urgence (Dictature présidentielle);Ausnahmezustand (Präsidiale Diktatur);;Estado de emergencia (Dictadura presidencialista);;;;;;;;;
state_of_emergency_presidential_dictatorship_ruler;President;Président;Präsident;;Presidente;;;;;;;;;
state_of_emergency_proletarian_dictatorship;State of Emergency (Communist Dictatorship);État d'urgence (Dictature communiste);Ausnahmezustand (Kommunistische Diktatur);;Estado de emergencia (Dictadura comunista);;;;;;;;;
state_of_emergency_proletarian_dictatorship_ruler;Chairman;Président;Vorsitzender;;Presidente del consejo;;;;;;;;;
state_of_emergency_prussian_constitutionalism;State of Emergency (Prussian Constitutionalism);État d'urgence (Constitutionalisme prussien);Ausnahmezustand (Konstitutionelle Monarchie);;Estado de emergencia (Constitucionalismo prusiano);;;;;;;;;
state_of_emergency_prussian_constitutionalism_ruler;King;Roi;König;;Rey;;;;;;;;;
