Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
WARSUBSIDIES_DI;Offer of Warsubsidies;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;;
CANCEL_WARSUBSIDIES_DI;Cancellation of Warsubsidies;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;;
ASKMILITARYACCESS_DI;Request for Military Access;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;;
CANCELASKMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;;
GIVEMILITARYACCESS_DI;Offer of Military Access;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;;
CANCELGIVEMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;;
ALLIANCE_DI;Alliance Offer;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;;
CANCELALLIANCE_DI;Alliance Broken;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;;
CALLALLY_DI;Call Ally;Appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;;
DISCREDIT_DI;Discredit;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;;
EXPELADVISORS_DI;Expulsion of Advisors;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;;
BANEMBASSY_DI;Banning of Embassy;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;;
INCREASEOPINION_DI;Opinion Increase;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;;
DECREASEOPINION_DI;Opinion Decrease;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;;
ADDTOSPHERE_DI;Add to Sphere;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;Añadir a la esfera;;;;;;;;;
REMOVEFROMSPHERE_DI;Remove From Sphere;Retirer de la sphère;Aus Einflusssphäre entfernen;;Eliminar de la esfera;;;;;;;;;
INCREASERELATION_DI;Increase Relation;Améliorer les relations;Beziehung verbessern;;Mejorar relación;;;;;;;;;
DECREASERELATION_DI;Decrease Relation;Détériorer les relations;Beziehung verschlechtern;;Empeorar relación;;;;;;;;;
GUNBOAT_DI;Gunboat Diplomacy;Diplomatie de la canonnière;Kanonenbootdiplomatie;;Diplomacia de las cañoneras;;;;;;;;;
WAR_DI;War;Guerre;Krieg;;Guerra;;;;;;;;;
WARGOAL_DI;Adding of Wargoal;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;Adición de objetivo bélico;;;;;;;;;
PEACE_DI;Peace Offer;Offre de paix;Friedensangebot;;Oferta de paz;;;;;;;;;
TOPBAR_LEADERSHIP_MAX;You have already reached the maximum storage of §Y$MAX$§W leadership and no new leadership will be accumulated.\n;Vous avez atteint le nombre maximum de §Y$MAX$§W points de commandement et aucun nouveau point ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;Ya has alcanzado el nivel máximo de liderazgo, §Y$MAX$§W, y no se acumulará más.\n;;;;;;;;;
IS_MOBILIZED_IRO;(Reserves are Mobilized);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;(Las reservas están movilizadas);;;;;;;;;
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;Obtienes §Y$NAME$§W.\n;;;;;;;;;
TOPBAR_WAR_PLUS;And their satellites and dominions.\n;et leurs satellites et dominions.\n;und ihre puppetnstaaten und Dominions.\n;;Y sus satélites y dominios.\n;;;;;;;;;
CANTBUILD_FORCEDISARM;We can't build new military units, as we are under a peace treaty that has forced us to disarm.;Le traité de paix qui nous a contraints à nous désarmer ne nous permet pas de construire de nouvelles unités.;Wir können keine neuen Militäreinheiten bauen, da uns ein Friedensvertrag zur Abrüstung zwingt.;;No podemos construir nuevas unidades militares, ya que estamos sometidos a un tratado de paz que nos obliga al desarme.;;;;;;;;;
SOME_LIFE_NEEDS;Life Needs partly fulfilled;Besoins vitaux partiellement satisfaits;Grundbedürfnisse teilweise;;Necesidades básicas parcialmente cubiertas;;;;;;;;;
TOPBAR_AVG_CHANGE;We estimate that it will change by $VAL$§W during the next month.;Nous estimons que cela changera à hauteur de $VAL$§W au cours du mois prochain.;Wir vermuten eine Veränderung von $VAL$§W für den nächsten Monat.;;Calculamos que cambiará en $VAL$§W durante el próximo mes.;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Daily base research points: §Y$VALUE$§W;Points de recherche de base quotidiens : §Y$VALUE$§W;Tägliche Basis-Forschungspunkte: §Y$VALUE$§W;;Base diaria de puntos de investigación: §Y$VALUE$§W;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Daily research points: §G+$VALUE$§W;Points de recherche quotidiens : §G+$VALUE$§W;Tägliche Forschungspunkte: §G+$VALUE$§W;;Puntos de investigación diarios: §G+$VALUE$§W;;;;;;;;;
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W research points.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);$POPTYPE$ donnent §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale);$POPTYPE$ erbringen §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung - $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W puntos de investigación.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;;
MODIFIER_RESEARCH_POINTS;Research Points;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;;
gas;Gas Attack;Attaque aux gaz;Gasangriff;;Ataque de gases;;;;;;;;;
COMBAT_GAS;Gas attacks while the opponent lacks the technology to defend against it may be devastating.;Les attaques aux gaz, lorsque l'adversaire ne dispose pas de la technologie pour s'en défendre, peuvent être dévastatrices.;Gasangriffe gegen Gegner, deren Technologie noch nicht zu deren Abwehr ausreicht, können verheerend ausfallen.;;Los ataques con gas, cuando el oponente carece de la tecnología apropiada para defenderse de ellos, pueden ser devastadores.;;;;;;;;;
MAY_GAS_ATTACK;Can use Gas Attack\n;Peut utiliser les attaques aux gaz\n;Kann Gasangriff einsetzen.\n;;Puede usar ataque de gases\n;;;;;;;;;
MAY_GAS_DEFEND;Can defend against Gas Attack\n;Peut se défendre des attaques aux gaz\n;Kann sich gegen Gasangriff verteidigen.\n;;Puede defenderse de ataques de gases\n;;;;;;;;;
IMMIGRANTS_FROM;There were §G$VAL$§W immigrants from $NAME$.;Il y avait §G$VAL$§W immigrants de $NAME$.;Es gab §G$VAL$§W Immigranten aus $NAME$.;;Había §G$VAL$§W inmigrantes procedentes de $NAME$.;;;;;;;;;
EMIGRANTS_TO;§R$VAL$§W emigrated to $NAME$.;§R$VAL$§W ont émigré vers $NAME$.;§R$VAL$§W emigrierten nach $NAME$.;;§R$VAL$§W emigrados a $NAME$.;;;;;;;;;
PW_ALL_FOCUSES_USED;All national focuses are already used.;Toutes les causes nationales ont déjà été utilisées.;Alle nationalen Fokusse sind bereits eingesetzt.;;Ya están en uso todos los objetivos nacionales.;;;;;;;;;
HAS_NO_FACTORIES;Has NO factories.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;NO tiene fábricas.\n;;;;;;;;;
