Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Militär;;Puntuación militar;;;;;;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrie;;Puntuación industrial;;;;;;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;Puntuación total;;;;;;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;Provincia;;;;;;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Popul. tot.;Gesamtbevölk.;;Pob. total;;;;;;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;
LEDGER_PROVINCE_RELIGION;Religion;Religion;Religion;;Religión;;;;;;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Thema;;Tema;;;;;;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Idéologie;Ideologie;;Ideología;;;;;;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbevölkerung;;Población de la provincia;;;;;;;;;
LEDGER_HEADER_ARMY;Armies;Armées;Armeen;;Ejércitos;;;;;;;;;
LEDGER_ARMY_NAME;Army;Armée;Armee;;Ejército;;;;;;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;Caballería;;;;;;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;Artillería;;;;;;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;
